" VARIABLES = ""X"""," ""Y"""," ""U"""," ""V"""," ""T""",,,
 ZONE I= 76, J= 76, F=POINT ,,,,-1116988741,-1116988702
0.3067,4.00E-02,2.71E+15,8.77E+14,0.00E+00,,NO,NO
0.32,4.00E-02,2.47E+15,7.35E+14,0.00E+00,,NO,NO
0.3333,4.00E-02,2.27E+15,6.17E+14,0.00E+00,,NO,NO
0.3467,4.00E-02,2.10E+15,5.19E+14,0.00E+00,,NO,NO
0.36,4.00E-02,1.96E+15,4.36E+14,0.00E+00,,NO,NO
0.3733,4.00E-02,1.84E+15,3.66E+14,0.00E+00,,NO,NO
0.3867,4.00E-02,1.74E+15,3.05E+14,0.00E+00,,NO,NO
0.4,4.00E-02,1.65E+15,2.52E+14,0.00E+00,,NO,NO
0.4133,4.00E-02,1.58E+15,2.06E+14,0.00E+00,,NO,NO
0.4267,4.00E-02,1.53E+15,1.64E+14,0.00E+00,,NO,NO
0.44,4.00E-02,1.48E+15,1.26E+14,0.00E+00,,NO,NO
0.4533,4.00E-02,1.45E+15,9.14E+13,0.00E+00,,NO,NO
0.4667,4.00E-02,1.42E+15,5.88E+13,0.00E+00,,NO,NO
0.48,4.00E-02,1.41E+15,2.75E+13,0.00E+00,,NO,NO
0.4933,4.00E-02,1.41E+15,-3.10E+12,0.00E+00,,NO,NO
0.5067,4.00E-02,1.41E+15,-3.36E+13,0.00E+00,,NO,NO
0.52,4.00E-02,1.43E+15,-6.47E+13,0.00E+00,,NO,NO
0.5333,4.00E-02,1.45E+15,-9.70E+13,0.00E+00,,NO,NO
0.5467,4.00E-02,1.49E+15,-1.31E+14,0.00E+00,,NO,NO
0.56,4.00E-02,1.54E+15,-1.68E+14,0.00E+00,,NO,NO
0.5733,4.00E-02,1.59E+15,-2.09E+14,0.00E+00,,NO,NO
0.5867,4.00E-02,1.67E+15,-2.54E+14,0.00E+00,,NO,NO
0.6,4.00E-02,1.75E+15,-3.05E+14,0.00E+00,,NO,NO
0.6133,4.00E-02,1.85E+15,-3.63E+14,0.00E+00,,NO,NO
0.6267,4.00E-02,1.97E+15,-4.31E+14,0.00E+00,,NO,NO
0.64,4.00E-02,2.12E+15,-5.09E+14,0.00E+00,,NO,NO
0.6533,4.00E-02,2.28E+15,-6.02E+14,0.00E+00,,NO,NO
0.6667,4.00E-02,2.48E+15,-7.12E+14,0.00E+00,,NO,NO
0.68,4.00E-02,2.71E+15,-8.44E+14,0.00E+00,,NO,NO
0.6933,4.00E-02,2.98E+15,-1.00E+15,0.00E+00,,NO,NO
0.7067,4.00E-02,3.30E+15,-1.20E+15,0.00E+00,,NO,NO
0.72,4.00E-02,3.68E+15,-1.44E+15,0.00E+00,,NO,NO
0.7333,4.00E-02,4.13E+15,-1.74E+15,0.00E+00,,NO,NO
0.7467,4.00E-02,4.67E+15,-2.11E+15,0.00E+00,,NO,NO
0.76,4.00E-02,5.32E+15,-2.59E+15,0.00E+00,,NO,NO
0.7733,4.00E-02,6.10E+15,-3.20E+15,0.00E+00,,NO,NO
0.7867,4.00E-02,7.05E+15,-3.99E+15,-6.84E-05,,NO,NO
0.8,4.00E-02,8.21E+15,-5.02E+15,6.81E-04,,NO,NO
0.8133,4.00E-02,9.63E+15,-6.39E+15,-3.08E-03,,NO,NO
0.8267,4.00E-02,1.14E+16,-8.22E+15,1.53E-02,,NO,NO
0.84,4.00E-02,1.36E+16,-1.07E+16,-3.36E-02,,NO,NO
0.8533,4.00E-02,1.64E+16,-1.42E+16,3.65E-02,,NO,NO
0.8667,4.00E-02,2.00E+16,-1.90E+16,5.80E-01,,NO,NO
0.88,4.00E-02,2.48E+16,-2.60E+16,-4.17E+00,,NO,NO
0.8933,4.00E-02,3.15E+16,-3.62E+16,2.25E+01,,NO,NO
0.9067,4.00E-02,4.20E+16,-5.22E+16,-7.08E+01,,NO,NO
0.92,4.00E-02,6.19E+16,-8.15E+16,3.15E+02,,NO,NO
0.9333,4.00E-02,1.11E+17,-1.56E+17,-2.07E+03,,NO,NO
0.9467,4.00E-02,2.63E+17,-4.37E+17,-3.13E+04,,NO,NO
0.96,4.00E-02,8.61E+17,-1.26E+18,9.93E+06,,NO,NO
0.9733,4.00E-02,-5.96E+18,3.92E+17,-4.21E+07,,NO,NO
0.9867,4.00E-02,1.89E+18,1.53E+18,-3.45E+07,,NO,-10355999850
1,4.00E-02,0.00E+00,0.00E+00,-5.00E-01,,NO,NO
0,5.33E-02,0.00E+00,0.00E+00,5.00E-01,,NO,NO
0.01333,5.33E-02,-3.27E+17,-5.14E+17,4.27E+04,,-12812850,NO
0.02667,5.33E-02,-8.30E+17,-1.04E+17,5.58E+04,,NO,NO
0.04,5.33E-02,-2.53E+17,2.52E+17,6.04E+04,,NO,NO
0.05333,5.33E-02,-5.65E+16,2.10E+17,-2.53E+04,,NO,NO
0.06667,5.33E-02,1.17E+15,1.36E+17,7.80E+02,,NO,NO
0.08,5.33E-02,1.56E+16,8.60E+16,-5.30E+01,,NO,NO
0.09333,5.33E-02,1.75E+16,5.61E+16,6.39E+00,,NO,NO
0.1067,5.33E-02,1.63E+16,3.83E+16,7.66E-01,,NO,NO
0.12,5.33E-02,1.44E+16,2.72E+16,-6.69E-01,,NO,NO
0.1333,5.33E-02,1.25E+16,1.99E+16,3.90E-01,,NO,NO
0.1467,5.33E-02,1.08E+16,1.49E+16,-1.23E-01,,NO,NO
0.16,5.33E-02,9.37E+15,1.14E+16,6.01E-02,,NO,NO
0.1733,5.33E-02,8.13E+15,8.77E+15,-1.40E-02,,NO,NO
0.1867,5.33E-02,7.07E+15,6.87E+15,5.93E-03,,NO,NO
0.2,5.33E-02,6.18E+15,5.44E+15,-7.62E-04,,NO,NO
0.2133,5.33E-02,5.42E+15,4.35E+15,2.61E-04,,NO,NO
0.2267,5.33E-02,4.78E+15,3.51E+15,0.00E+00,,NO,NO
0.24,5.33E-02,4.24E+15,2.86E+15,0.00E+00,,NO,NO
0.2533,5.33E-02,3.78E+15,2.34E+15,0.00E+00,,NO,NO
0.2667,5.33E-02,3.39E+15,1.93E+15,0.00E+00,,NO,NO
0.28,5.33E-02,3.06E+15,1.60E+15,0.00E+00,,NO,NO
0.2933,5.33E-02,2.77E+15,1.34E+15,0.00E+00,,NO,NO
0.3067,5.33E-02,2.53E+15,1.12E+15,0.00E+00,,NO,NO
0.32,5.33E-02,2.33E+15,9.41E+14,0.00E+00,,NO,NO
0.3333,5.33E-02,2.15E+15,7.92E+14,0.00E+00,,NO,NO
0.3467,5.33E-02,2.00E+15,6.68E+14,0.00E+00,,NO,NO
0.36,5.33E-02,1.87E+15,5.62E+14,0.00E+00,,NO,NO
0.3733,5.33E-02,1.76E+15,4.72E+14,0.00E+00,,NO,NO
0.3867,5.33E-02,1.67E+15,3.94E+14,0.00E+00,,NO,NO
0.4,5.33E-02,1.60E+15,3.26E+14,0.00E+00,,NO,NO
0.4133,5.33E-02,1.53E+15,2.66E+14,0.00E+00,,NO,NO
0.4267,5.33E-02,1.48E+15,2.13E+14,0.00E+00,,NO,NO
0.44,5.33E-02,1.44E+15,1.64E+14,0.00E+00,,NO,NO
0.4533,5.33E-02,1.41E+15,1.19E+14,0.00E+00,,NO,NO
0.4667,5.33E-02,1.39E+15,7.62E+13,0.00E+00,,NO,NO
0.48,5.33E-02,1.38E+15,3.55E+13,0.00E+00,,NO,NO
